data_compra_date;id_pedido;id_produto;entrega_uf;receita_frete;receita_produto;quantidade_produto;situacao;tipo_venda;canal;desconto_produto;receita_total;nome_produto;categoria
10/01/2020;7583716;303938;RJ;97,73000336;157,89999390;1;Cancelado;1P;MM;0,00000;255,62999730;Mesa de Jantar em Madeira Nina Carraro;Mesas
23/01/2020;7754511;178962;SP;218,72999570;859,90002440;1;Cancelado;1P;MM;0,00000;1078,63002000;Guarda Roupa Casal com Espelho 3 Portas de Correr Flórida Espresso Móveis;Guarda-Roupas
03/01/2020;7482909;327482;RS;144,44999690;403,27999880;1;Aprovado;1P;Magazine Luiza;0,00000;547,72999570;Conjunto Sala de Jantar Mesa 6 Cadeiras Nicoli Sonetto Móveis;Conjuntos de Mesas e Cadeiras de Jantar
27/01/2020;7792572;1591984;ES;32,06999969;53,11000061;1;Cancelado;3P;MM;0,00000;85,18000031;Brinquedos Educativos - Alfabeto Móvel Em Madeira 40 Peças;Brinquedos
11/01/2020;7597293;293728;SP;59,77000046;379,89999390;1;Aprovado;1P;Magazine Luiza;0,00000;439,66999440;Beliche Solteiro Indy Conquista Móveis;Camas
18/01/2020;7693644;1807324;SP;55,00000000;701,91998290;2;Cancelado;3P;MM;0,00000;756,91998290;Cama Infantil Carro F1 090 Gelius Móveis;Camas
01/01/2020;7455553;532767;SP;67,33000183;349,89999390;1;Aprovado;1P;MM;0,00000;417,23000720;Armário Multiuso para Lavanderia 2 Portas 3 Prateleiras Aracaju Arte Móveis;Armários Multiuso
24/01/2020;7764001;362145;MG;153,88000490;1139,90002400;1;Aprovado;1P;MM;0,00000;1293,78002900;Conjunto Sala de Jantar Mesa Classic Tampo de Vidro 6 Cadeiras Vitória Cel Móveis;Conjuntos de Mesas e Cadeiras de Jantar
29/01/2020;7820245;2086206;SC;198,89999390;2099,00000000;1;Cancelado;3P;MM;0,00000;2297,89999400;Sofá Cairo 3,52M Retrátil e Reclinável com Molas No Assento e 6 Almofadas Tecido Suede;Sofás
13/01/2020;7624637;534710;MG;154,00999450;442,26000980;1;Aprovado;1P;MM;0,00000;596,27000430;Conjunto Mesa e 2 Bancos Festivo Life Espresso Móveis;Conjuntos de Jardim e Varanda
13/01/2020;7630060;491077;MA;110,88999940;85,93000031;1;Em Aprovação;1P;Magazine Luiza;0,00000;196,81999970;Painel para TV até 37 Polegadas Espresso Móveis;Painel para TV
18/01/2020;7689140;185355;SP;29,21999931;96,90000153;1;Cancelado;1P;B2W;-4,85000;121,27000090;Painel para TV até 42 Polegadas Life Espresso Móveis;Painel para TV
10/01/2020;7595762;510388;SP;0,00000000;489,89999390;1;Aprovado;1P;MM;0,00000;489,89999390;Guarda Roupa Casal com Cabeceira Baú 5 Portas 3 Gavetas e Prateleiras Cancun Espresso Móveis;Guarda-Roupas
13/01/2020;7634888;254236;PE;336,88000490;2065,54003900;1;Aprovado;1P;B2W;0,00000;2402,42004400;Cozinha Completa com Balcão e Tampo 5 Peças Baronesa Nesher Móveis;Armários de Cozinha
23/01/2020;7750427;1671215;SC;0,00000000;299,89999390;1;Aprovado;3P;MM;0,00000;299,89999390;Pipoqueira Philco Classic Retrô PPI04V 220V;Pipoqueira
06/01/2020;7533437;542777;SP;53,63999939;239,89999390;1;Em Aprovação;1P;Magazine Luiza;-23,99000;269,54999350;Escrivaninha com Estante 2 Gavetas Poli Poliman Móveis;Escrivaninhas
22/01/2020;7738287;565113;SP;49,93999863;259,89999390;1;Aprovado;1P;MM;0,00000;309,83999250;Sapateira 1 Porta com Espelho Lux Espresso Móveis;Sapateiras
18/01/2020;7691597;1877797;SP;33,79999924;224,38999940;1;Aprovado;3P;MM;0,00000;258,18999860;Bancada Gourmet II para Cozinha com Nichos - Branco;Armários de Cozinha
29/01/2020;7821866;1702386;RS;225,69000240;3099,00000000;1;Aprovado;3P;MM;0,00000;3324,69000200;Refrigerador/Expositor Vertical Gelopar GPTU-40 Frost Free 414 L Preto 220V;Expositores Refrigerados
12/01/2020;7621101;387877;RJ;42,81000137;285,79998780;2;Aprovado;1P;B2W;-15,04210;313,56788510;Mesa de Cabeceira Antares;Mesas de Cabeceira
20/01/2020;7720441;521819;SP;153,22000120;579,79998780;2;Aprovado;1P;CNova;0,00000;733,01998900;Guarda Roupa Casal 6 Portas 1 Porta Basculante 1 Gaveta Dallas Espresso Móveis;Guarda-Roupas
21/01/2020;7731043;282581;SP;0,00000000;1029,90002400;1;Cancelado;1P;MM;0,00000;1029,90002400;Conjunto Sala de Jantar Mesa Alana Retângular 4 Cadeiras Milena Cimol;Conjuntos de Mesas e Cadeiras de Jantar
05/01/2020;7508414;1376435;SP;8,68000031;35,90000153;1;Cancelado;3P;MM;0,00000;44,58000183;Adesivo de Azulejo Magenta 10x10 cm com 50un;Adesivos
10/01/2020;7587413;250344;MG;132,08000180;426,25000000;1;Aprovado;1P;Mercado Livre;0,00000;558,33000180;Cômoda 7 Gavetas 2 Portas com Rodízios London Demóbile;Cômodas
10/01/2020;7597123;560731;SP;43,13000107;699,90002440;1;Aprovado;1P;B2W;0,00000;743,03002550;Buffet 4 Portas e 2 Gavetas 160cm Versátile Veneza Casa D;Buffets
06/01/2020;7532595;554178;MG;74,73000336;679,90002440;1;Aprovado;1P;B2W;0,00000;754,63002780;Quarto de Bebê com Guarda Roupa 3 Portas Cômoda e Arco Íris Macchiato Móveis Flex Color;Conjuntos de Quarto
04/01/2020;7493638;2310701;RS;100,00000000;339,89999390;1;Aprovado;3P;MM;0,00000;439,89999390;Kit 02 Poltronas Decorativas Aurora Suede;Poltronas
03/01/2020;7475199;546770;SP;94,16999817;309,89999390;1;Em Aprovação;1P;Magazine Luiza;-30,99000;373,07999230;Armário Multiuso 4 Portas 8 Prateleiras Milão Espresso Móveis;Armários Multiuso
08/01/2020;7564311;493823;SP;0,00000000;419,89999390;1;Aprovado;1P;MM;-41,99000;377,90999390;Mesa Gamer Desk DRX 5000 Espresso Móveis;Escrivaninhas
27/01/2020;7800218;1554228;MG;59,00000000;218,89999390;1;Aprovado;3P;MM;0,00000;277,89999390;Cadeira de Escritório Secretária Pelegrin PEL-S653 Cinza;Cadeiras de Escritório
06/01/2020;7529852;1983194;RS;121,00000000;3859,89990200;1;Aprovado;3P;MM;0,00000;3980,89990200;Poltrona do Papai Reclinável Giratória Armênia Glider Mecânico Couro Conhaque Brilho - Gran;Poltronas
06/01/2020;7533897;365124;SP;29,79000092;165,89999390;1;Cancelado;1P;B2W;0,00000;195,68999480;Estante para Livros 5 Prateleiras Linus Qmovi;Estantes
16/01/2020;7664268;194845;SP;208,05999760;1954,46997100;1;Aprovado;1P;Mercado Livre;0,00000;2162,52996800;Guarda Roupa Casal com Espelho 3 Portas 8 Gavetas Udine Espresso Móveis;Guarda-Roupas
06/01/2020;7523240;565006;SP;26,45000076;219,89999390;1;Aprovado;1P;B2W;0,00000;246,34999470;Rack com Painel Para TV até 55 Polegadas e 1 Porta Miami Beach Yescasa;Rack com Painel
13/01/2020;7626550;250345;SP;93,29000092;435,95001220;1;Cancelado;1P;B2W;0,00000;529,24001310;Cômoda 7 Gavetas 2 Portas com Rodízios London Demóbile;Cômodas
21/01/2020;7735489;2230767;SP;139,72000120;809,00000000;1;Aprovado;3P;MM;0,00000;948,72000120;Guarda-Roupa Casal 6 Portas 3 Gavetas Internas Olimpo Tcil Móveis;Guarda-Roupas
02/01/2020;7467864;174028;SP;137,80000310;695,90002440;1;Aprovado;1P;Magazine Luiza;-104,38000;729,32003020;Guarda Roupa Casal com Espelho 3 Portas de Correr Lara Espresso Móveis;Guarda-Roupas
06/01/2020;7524265;1345230;RJ;235,00000000;859,90002440;1;Aprovado;3P;MM;0,00000;1094,90002400;Kit 02 Poltronas Decorativas Para Sala de Estar Yara Linho Bege - Lyam Decor;Poltronas
22/01/2020;7737883;340759;BA;376,88000490;1946,15002400;1;Aprovado;1P;B2W;0,00000;2323,03006000;Freezer Horizontal Vidros Deslizantes 307L Profissional Gelopar 220V;Freezer
04/01/2020;7495425;1043106;SP;19,12000084;81,58999634;1;Cancelado;3P;MM;0,00000;100,70999720;Cortina Voil Pérola Sala Quarto 6,00x2,80 Ilhós Cromado;Cortinas
20/01/2020;7713404;1947310;MG;18,70000076;99,90000153;1;Aprovado;3P;MM;0,00000;118,60000230;Kit Edredom Confort Casa Dona Dupla Face Casal Queen 6 Pçs Com Lençol Preto;Edredom
23/01/2020;7756555;1971079;SP;65,00000000;224,91000370;1;Cancelado;3P;MM;0,00000;289,91000370;Mesa para Escritório e Home Office Industrial Soft F01 Branco Fosco - Lyam Decor;Escrivaninhas
31/01/2020;7846327;361100;SP;51,72999954;140,89999390;1;Aprovado;1P;MM;0,00000;192,62999340;Painel para TV de até 43 Polegadas Mister Viero;Painel para TV
17/01/2020;7686590;482397;SP;47,75999832;209,89999390;1;Aprovado;1P;MM;0,00000;257,65999220;Painel para TV até 50 Polegadas 2 Nichos Topázio Contemporâneo Mavaular;Painel para TV
26/01/2020;7788393;1591975;SP;59,77000046;66,61000061;1;Cancelado;3P;MM;0,00000;126,38000110;Brinquedos Educativos - Sacola Alfanumérica 1000 Peças;Brinquedos
20/01/2020;7713959;487962;RJ;158,67999270;468,55999760;1;Aprovado;1P;B2W;0,00000;627,23999020;Guarda Roupa Casal 6 Portas 2 Gavetas Paris Espresso Móveis;Guarda-Roupas
15/01/2020;7658091;198078;RS;61,31999969;181,14999390;1;Aprovado;1P;Magazine Luiza;0,00000;242,47000120;Escrivaninha 1 Porta 1 Gaveta Melissa Permobili;Escrivaninhas
24/01/2020;7769014;487962;RJ;186,82000730;451,50000000;1;Aprovado;1P;B2W;-22,57938;615,74062950;Guarda Roupa Casal 6 Portas 2 Gavetas Paris Espresso Móveis;Guarda-Roupas
09/01/2020;7580795;310063;SP;99,44000244;1479,90002400;1;Aprovado;1P;B2W;-147,99001;1431,35002100;Conjunto Sala de Jantar 6 Cadeiras Tampo Vidro MDF Atlanta Chanfro Premium Espresso Móveis;Conjuntos de Mesas e Cadeiras de Jantar
07/01/2020;7548770;563913;RS;45,58000183;256,89999390;1;Aprovado;1P;MM;0,00000;302,47999570;Rack para TVs até 50 Polegadas e Estante Multiuso Arara CabeCasa MadeiraMadeira;Racks
27/01/2020;7792246;1729216;SP;35,63000107;189,82000730;2;Aprovado;3P;MM;0,00000;225,45000840;Persiana Romana em Bambu 1,00larg x 1,60alt Nogueira;Persianas
01/01/2020;7455693;202295;MG;20,65999985;110,12000270;1;Aprovado;1P;B2W;0,00000;130,78000260;Mesa para Computador com 3 Prateleiras Pixel Artely;Escrivaninhas
11/01/2020;7637731;217832;SC;61,06000137;196,89999390;1;Aprovado;1P;Mercado Livre;0,00000;257,95999530;Cama Casal Mônaco Tcil Móveis;Camas
22/01/2020;7739770;2121115;RS;37,90999985;126,00000000;1;Aprovado;3P;MM;0,00000;163,90999980;Cadeirinha Cestinha Bike Dog para Bicicleta Bege - Altmayer AL-59;Bicicletas
29/01/2020;7825639;1883783;PR;50,59999847;98,09999847;1;Aprovado;3P;MM;0,00000;148,69999690;Kit Edredom Queen 07 Peças Vitória Tabaco Casa Completa;Edredom
17/01/2020;7677160;200771;PR;67,77999878;239,89999390;1;Cancelado;1P;MM;0,00000;307,67999270;Painel para TV até 55 Polegadas com Bancada Malbec Belaflex;Painel para TV
07/01/2020;7537878;1874506;SP;65,00000000;327,00000000;1;Aprovado;3P;MM;0,00000;392,00000000;Carrinho de Churrasco Mesa Gourmet Churrasqueira Madeira Maciça Imbuia - Lyam Decor;Carrinho Auxiliar
23/01/2020;7759813;521819;SP;75,12999725;289,89999390;1;Aprovado;1P;CNova;0,00000;365,02999110;Guarda Roupa Casal 6 Portas 1 Porta Basculante 1 Gaveta Dallas Espresso Móveis;Guarda-Roupas
10/01/2020;7592919;352905;SP;203,19000240;1431,41003400;1;Cancelado;1P;MM;-89,53000;1545,07003700;Guarda Roupa Casal 6 Portas 12 Gavetas Atlanta Tcil Móveis;Guarda-Roupas
09/01/2020;7581775;146882;ES;170,74000550;424,89999390;1;Cancelado;1P;MM;0,00000;595,63999940;Painel para TVs até 60 Polegadas com LED 2 Prateleiras de Vidro Veneza Yescasa;Painel para TV
16/01/2020;7669946;550858;SP;136,88000490;705,90002440;1;Aprovado;1P;MM;0,00000;842,78002930;Guarda Roupa Casal 4 Espelhos 3 Portas de Correr 4 Gavetas Max Plus Espresso Móveis;Guarda-Roupas
17/01/2020;7682237;521821;SP;89,77999878;339,89999390;1;Aprovado;1P;CNova;0,00000;429,67999270;Guarda Roupa Casal 6 Portas 1 Porta Basculante 1 Gaveta Miami Espresso Móveis;Guarda-Roupas
15/01/2020;7653964;2088094;SP;91,41999817;99,00000000;1;Aprovado;3P;MM;0,00000;190,41999820;Colchão Berço D20 130x60x10 Sonobel;Colchão
30/01/2020;7829949;285032;SP;202,72000120;839,79998780;2;Cancelado;1P;CNova;0,00000;1042,51998900;Guarda Roupa Solteiro com Espelho 2 Portas 2 Gavetas Espresso Móveis;Guarda-Roupas
07/01/2020;7547520;516773;SP;0,00000000;429,89999390;1;Aprovado;1P;MM;0,00000;429,89999390;Cômoda Fraldário Retrô Ester Carolina Baby;Cômodas
13/01/2020;7636308;280328;SP;0,00000000;159,89999390;1;Cancelado;1P;MM;0,00000;159,89999390;Mesa para Computador 1 Gaveta System Valdemóveis;Escrivaninhas
05/01/2020;7513654;548052;RS;43,47999954;268,41000370;1;Cancelado;1P;B2W;-26,85000;285,04000280;Escrivaninha com Estante 2 Gavetas Gabriela Espresso Móveis;Escrivaninhas
24/01/2020;7761784;478027;SP;0,00000000;599,90002440;1;Aprovado;1P;MM;0,00000;599,90002440;Estante Home para TV até 55 Polegadas Foz Espresso Móveis;Estantes para TV e Home Theater
14/01/2020;7648849;211674;MG;50,54999924;171,89999390;1;Cancelado;1P;MM;0,00000;222,44999310;Estante para Livros 5 Prateleiras Multy Artely;Estantes
03/01/2020;7486636;220877;SP;81,16000366;448,60000610;1;Aprovado;1P;Magazine Luiza;-67,29000;462,47000890;Treliche Solteiro Bia Cimol;Camas
26/01/2020;7789596;361099;SP;51,65000153;111,51000210;1;Cancelado;1P;CNova;0,00000;163,16000370;Painel para TV de até 43 Polegadas Mister Viero;Painel para TV
14/01/2020;7646100;1240020;SP;12,52999973;77,66000366;1;Aprovado;3P;MM;0,00000;90,19000340;Conjunto com 3 Almofadas Colors 3D;Almofadas
08/01/2020;7554489;503936;SP;73,38999939;559,79998780;2;Aprovado;1P;MM;-55,98000;577,20998720;Estante Alta 5 Prateleiras Londres Novabras;Estantes
12/01/2020;7614986;170971;SP;66,05000305;379,89999390;1;Aprovado;1P;MM;0,00000;445,94999690;Guarda Roupa Infantil 2 Portas 4 Gavetas e Nicho Cookie Multimóveis;Guarda-Roupas
10/01/2020;7586564;139455;SP;66,63999939;617,90002440;1;Aprovado;1P;CNova;0,00000;684,54002380;Cama Solteiro com 3 Gavetas e 1 Mesa de Cabeceira Charme Inter Link;Camas
30/01/2020;7830884;217788;SP;42,61999893;336,89999390;1;Aprovado;1P;B2W;-33,69000;345,82999420;Guarda Roupa Solteiro 2 Portas 2 Gavetas Retrô Milão Móveis Bechara;Guarda-Roupas
04/01/2020;7500971;327482;RS;144,44999690;403,27999880;1;Cancelado;1P;Magazine Luiza;-60,49000;487,23999400;Conjunto Sala de Jantar Mesa 6 Cadeiras Nicoli Sonetto Móveis;Conjuntos de Mesas e Cadeiras de Jantar
02/01/2020;7462041;1976217;RJ;27,62000084;45,63000107;1;Aprovado;3P;MM;0,00000;73,25000191;"Dispositivo de Aspiração ABS/Inox Pratic 1 1/2"" - 50mm";Piscinas
23/01/2020;7758027;514229;SP;96,94000244;690,90002440;1;Cancelado;1P;MM;0,00000;787,84002690;Guarda Roupa Casal 3 Portas com Espelho Porto Premium Espresso Móveis;Guarda-Roupas
20/01/2020;7711308;481165;GO;97,68000031;394,33999630;1;Aprovado;1P;MM;0,00000;492,01999660;Escrivaninha com 8 Nichos Nero Artany;Escrivaninhas
11/01/2020;7599146;293748;RJ;74,19999695;272,92001340;1;Aprovado;1P;Magazine Luiza;0,00000;347,12001040;Bicama Solteiro Funny III Conquista Móveis;Camas
11/01/2020;7603344;195128;SP;54,49000168;709,90002440;1;Aprovado;1P;B2W;0,00000;764,39002610;Guarda Roupa Casal com Espelho 3 Portas de Correr Luna Rufato;Guarda-Roupas
21/01/2020;7730935;2133396;SP;0,00000000;199,89999390;1;Aprovado;3P;MM;0,00000;199,89999390;Barbeador Philco Shaver EasyBlade 14 EM 1 PBA06PV Bivolt;Aparadores de Pelo
04/01/2020;7494814;2211817;RJ;49,02000046;139,97000120;1;Aprovado;3P;MM;0,00000;188,99000170;Cabeceira Intense Casal 1.4 Estofada - Lh Móveis - Corino Branco;Cabeceiras
07/01/2020;7539014;254269;SP;0,00000000;999,79998780;2;Aprovado;1P;B2W;0,00000;999,79998780;Cristaleira 2 Portas 1 Gaveta Retrô 0810 Genialflex;Cristaleiras
10/01/2020;7589365;146882;RS;92,75000000;424,89999390;1;Cancelado;1P;MM;0,00000;517,64999390;Painel para TVs até 60 Polegadas com LED 2 Prateleiras de Vidro Veneza Yescasa;Painel para TV
23/01/2020;7758279;1009808;SP;45,02000046;159,02999880;1;Aprovado;3P;MM;0,00000;204,04999920;Tapete Felpudo Cinza Claro Mesclado 2,00Mx2,40m - Pelo Alto - Costa Oro;Tapetes
08/01/2020;7564194;513863;SP;0,00000000;199,89999390;1;Cancelado;1P;MM;0,00000;199,89999390;Mesa Gamer 1 Gaveta DRX 9000 Espresso Móveis;Escrivaninhas
01/01/2020;7455971;164580;SP;134,74000550;731,39001460;1;Aprovado;1P;Magazine Luiza;0,00000;866,12999730;Guarda Roupa Casal 6 Portas 2 Gavetas Internas E530 Kappesberg;Guarda-Roupas
21/01/2020;7725164;255657;SP;100,97000120;582,90002440;1;Cancelado;1P;MM;0,00000;683,87002560;Guarda Roupa Casal com Espelho 3 Portas de Correr Smart Espresso Móveis;Guarda-Roupas
19/01/2020;7703672;491077;SC;40,15000153;85,93000031;1;Cancelado;1P;B2W;0,00000;126,08000180;Painel para TV até 37 Polegadas Espresso Móveis;Painel para TV
16/01/2020;7667311;532327;RS;54,27999878;117,90000150;1;Aprovado;1P;B2W;-3,66053;168,51947130;Fruteira 3 Cestos 1 Gaveta Curitiba Arte Móveis;Fruteiras
22/01/2020;7745521;278102;RJ;107,55999760;279,89999390;1;Aprovado;1P;MM;-27,99000;359,46999150;Sapateira 1 Porta com Espelho Happy Espresso Móveis;Sapateiras
17/01/2020;7677900;2125427;RJ;129,00000000;519,90002440;1;Aprovado;3P;MM;0,00000;648,90002440;Armário Multiuso 2 Portas 1 Gaveta Branco;Armários Multiuso
03/01/2020;7486243;304742;SP;0,00000000;186,91000370;1;Aprovado;1P;Carrefour;0,00000;186,91000370;Forno Elétrico Oster 10L Compact 127V;Fornos
24/01/2020;7765631;347729;SP;76,01000214;299,89999390;1;Aprovado;1P;Mercado Livre;0,00000;375,90999600;Cozinha Suspensa 9 Portas 2 Gavetas Angra Espresso Móveis;Balcão de Cozinha
18/01/2020;7696448;446099;PR;63,70000076;191,89999390;1;Aprovado;1P;B2W;0,00000;255,59999470;Cabeceira de Casal Extensível com Mesa de Cabeceira e 4 Gavetas Elegance Espresso Móveis;Cabeceiras
19/01/2020;7707935;1864487;SP;45,50000000;479,89999390;1;Aprovado;3P;MM;0,00000;525,39999390;Beliche Solteiro Reforçada 100% MDF Vera Basoto Brasil Castanho;Camas
15/01/2020;7650830;118009;SP;78,68000031;609,90002440;1;Aprovado;1P;MM;0,00000;688,58002470;Estante Home para TVs até 55 Polegadas com LED Aron Yescasa;Estantes para TV e Home Theater
06/01/2020;7522795;192966;SP;53,56000137;141,89999390;1;Aprovado;1P;MM;-14,19000;181,26999530;Armário Fruteira 2 Portas com Nicho Espresso Móveis;Fruteiras
03/01/2020;7470808;282032;SP;0,00000000;315,79998780;2;Em Aprovação;1P;Magazine Luiza;-47,37000;268,42998890;Cabeceira Casal com 2 Mesas de Apoio Dormitórios Decibal;Cabeceiras
29/01/2020;7825003;522507;SC;78,27999878;289,89999390;1;Cancelado;1P;CNova;0,00000;368,17999270;Penteadeira Camarim com Espelho e LED 3 Gavetas 2 Portas Carisma Demóbile;Penteadeiras
28/01/2020;7807203;1050238;SP;23,06999969;79,80000305;2;Aprovado;3P;MM;0,00000;102,87000270;Travesseiro Master Nasa 50x70;Travesseiros
12/01/2020;7622193;192966;RJ;47,65999985;141,89999390;1;Aprovado;1P;B2W;0,00000;189,55999370;Armário Fruteira 2 Portas com Nicho Espresso Móveis;Fruteiras
22/01/2020;7748772;508465;SP;46,86999893;269,89999390;1;Aprovado;1P;MM;0,00000;316,76999280;Conjunto para Banheiro Gabinete com Cuba Q35 e Prateleira 605W Metrópole Compace;Conjuntos de Banheiro
29/01/2020;7823747;2257794;DF;54,08000183;164,00000000;1;Aprovado;3P;MM;0,00000;218,08000180;PERSIANA VERTICAL PVC 1,60 X 1,40 CINZA;Persianas
04/01/2020;7501009;533278;SP;50,90000153;163,89999390;1;Aprovado;1P;MM;0,00000;214,79999540;Armário Multiuso 1 Porta 4 Prateleiras Olinda Arte Móveis;Armários Multiuso
16/01/2020;7671019;195262;SP;60,25999832;269,89999390;1;Cancelado;1P;CNova;0,00000;330,15999220;Rack com Painel para TV até 55 Polegadas Twin Espresso Móveis;Rack com Painel
31/01/2020;7839676;2414543;SP;31,81999969;79,90000153;1;Aprovado;3P;MM;0,00000;111,72000120;Prateleira Nicho Para Banheiro Cosméticos - 2 Peças;Nichos e Prateleiras
27/01/2020;7802428;481473;SP;50,81999969;169,89999390;1;Aprovado;1P;Magazine Luiza;0,00000;220,71999360;Escrivaninha 120cm Porto Espresso Móveis;Escrivaninhas
06/01/2020;7537578;274737;SP;29,54000092;89,90000153;1;Aprovado;1P;Mercado Livre;0,00000;119,44000240;Mesa para Computador com 3 Prateleiras Pixel Artely;Escrivaninhas
10/01/2020;7593259;517297;PE;427,44000240;1558,55004900;1;Em Aprovação;1P;Magazine Luiza;-155,86000;1830,13005100;Guarda Roupa Casal com Espelho 2 Portas de Correr 6 Gavetas Toronto Plus Espresso Móveis;Guarda-Roupas
23/01/2020;7750386;477046;PR;49,56999969;449,89999390;1;Aprovado;1P;MM;-22,50000;476,96999360;Rack 1 Porta de Correr 1 Prateleira Vidro Retrô Dalla Costa;Racks
22/01/2020;7740438;252263;SP;101,23999790;686,90002440;1;Aprovado;1P;Mercado Livre;0,00000;788,14002230;Quarto de Bebê com Guarda Roupa 3 Portas Cômoda e Berço Faz de Conta Espresso Móveis;Conjuntos de Quarto
31/01/2020;7848908;1979859;SP;49,90000153;119,00000000;1;Aprovado;3P;MM;0,00000;168,90000150;Colchão de Berço Baby D18 60x130cm Impermeável Padrão;Colchão
26/01/2020;7782797;178962;PE;286,83999630;859,90002440;1;Aprovado;1P;Magazine Luiza;0,00000;1146,74002100;Guarda Roupa Casal com Espelho 3 Portas de Correr Flórida Espresso Móveis;Guarda-Roupas
20/01/2020;7713569;119009;SP;148,11000060;1859,90002400;1;Cancelado;1P;MM;0,00000;2008,01002500;Porta de Aço Balcão de Correr Esquerda Flex 2 Folhas Móveis e 1 Fixa Natural Lucasa Facilità  214cmx150cmx16cm Esquerda;Portas
03/01/2020;7487268;554449;SP;127,98000340;863,02001950;1;Aprovado;1P;Magazine Luiza;0,00000;991,00002290;Guarda Roupa Casal com Espelho 3 Portas de Correr Scopel Capuccino Móveis;Guarda-Roupas
06/01/2020;7531661;550858;SP;99,45999908;705,90002440;1;Aprovado;1P;MM;0,00000;805,36002350;Guarda Roupa Casal 4 Espelhos 3 Portas de Correr 4 Gavetas Max Plus Espresso Móveis;Guarda-Roupas
27/01/2020;7793220;1112027;ES;32,06999969;70,30000305;1;Aprovado;3P;MM;0,00000;102,37000270;Brinquedos Educativos - Material Dourado 611 Peças;Brinquedos para Bebê
08/01/2020;7554876;482283;RS;42,90999985;175,89999390;1;Em Aprovação;1P;Magazine Luiza;-17,59000;201,21999360;Comoda Infantil 3 Gavetas e Nicho 1330 Espresso Móveis;Cômodas
21/01/2020;7722304;1910613;SP;49,90000153;79,90000153;1;Aprovado;3P;MM;0,00000;129,80000310;Puff Decorativo Dado Quadrado Estampado Listrado Amarelo D74;Puffs
03/01/2020;7474554;283872;PR;118,70999910;582,59997560;1;Em Aprovação;1P;Magazine Luiza;-87,39000;613,91997530;Guarda Roupa Casal com Espelho 3 Portas 3 Gavetas Flex Color Smart Espresso Móveis;Guarda-Roupas
05/01/2020;7515627;1764313;PR;44,45000076;399,89999390;1;Aprovado;3P;MM;0,00000;444,34999470;Cama Infantil com 2 Baús e Escadinha Naty Branco/Amendoa;Camas
30/01/2020;7838470;201976;RJ;155,66999820;94,90000153;1;Aprovado;1P;Magazine Luiza;0,00000;250,56999970;Painel para TV até 42 Polegadas Life Espresso Móveis;Painel para TV
09/01/2020;7569342;211672;ES;60,13000107;93,90000153;1;Em Aprovação;1P;Magazine Luiza;-9,39000;144,64000230;Painel para TV até 42 Polegadas com Suporte Universal Flash Artely;Painel para TV
15/01/2020;7663232;533402;RJ;132,17999270;163,89999390;1;Aprovado;1P;Viva Decora;0,00000;296,07998660;Armário Aéreo 1 Porta Basculante 1 Nicho Arte Móveis;Armários de Cozinha
15/01/2020;7659830;278102;RJ;107,55999760;279,89999390;1;Aprovado;1P;Mercado Livre;0,00000;387,45999150;Sapateira 1 Porta com Espelho Happy Espresso Móveis;Sapateiras
